GENESIS-Tabelle: 23131-0001
Krankenhauspatienten: Deutschland, Jahre,;;;;;;;;;;;
Hauptdiagnose ICD-10 (1-3-Steller Hierarchie);;;;;;;;;;;
Diagnosen der Krankenhauspatienten;;;;;;;;;;;
Deutschland;;;;;;;;;;;
Gestorbene Patienten (Anzahl);;;;;;;;;;;
;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
ICD10-M46;    Sonstige entzündliche Spondylopathien;263;335;314;334;417;416;498;540;599;601
ICD10-M47;    Spondylose;86;69;62;67;77;70;80;69;62;72
ICD10-M48;    Sonstige Spondylopathien;180;227;224;216;232;211;234;235;255;284
ICD10-M49;    Spondylopathien b. ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-M50-M54;  Sonst. Krankheiten der Wirbelsäule und des Rückens;486;553;580;568;642;604;635;642;548;559
ICD10-M50;    Zervikale Bandscheibenschäden;16;14;13;15;17;17;18;24;13;13
ICD10-M51;    Sonstige Bandscheibenschäden;103;92;95;97;89;92;90;79;66;93
ICD10-M53;    Sonst. Kh. d. Wirbelsäule u.d. Rückens,ao.n.klass.;35;27;43;33;36;26;42;27;29;26
ICD10-M54;    Rückenschmerzen;332;420;429;423;500;469;485;512;440;427
ICD10-M60-M63;  Krankheiten der Muskeln;252;265;240;250;313;287;331;328;332;375
ICD10-M60;    Myositis;63;64;81;66;78;96;108;92;96;110
ICD10-M61;    Kalzifikation und Ossifikation von Muskeln;-;3;-;1;3;-;2;1;-;1
ICD10-M62;    Sonstige Muskelkrankheiten;189;198;159;183;232;191;221;235;236;264
ICD10-M63;    Muskelkrankheiten bei anderenorts klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M65-M68;  Krankheiten der Synovialis und der Sehnen;15;14;16;24;20;17;34;21;33;28
ICD10-M65;    Synovitis und Tenosynovitis;10;9;10;19;16;16;32;20;28;23
ICD10-M66;    Spontanruptur der Synovialis und von Sehnen;3;4;5;2;2;-;2;1;-;1
ICD10-M67;    Sonstige Krankheiten der Synovialis und der Sehnen;2;1;1;3;2;1;-;-;5;4
ICD10-M68;    Kh. d. Synovialis u.d. Sehnen bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M70-M79;  Sonstige Krankheiten des Weichteilgewebes;373;332;368;373;380;405;445;436;469;568
ICD10-M70;    Kh. d. Weichteilgewebes im Zusammenh. m. Belastung;63;65;74;79;56;79;64;91;89;97
ICD10-M71;    Sonstige Bursopathien;19;6;23;22;18;13;25;19;21;28
ICD10-M72;    Fibromatosen;204;180;180;194;214;216;260;247;272;283
ICD10-M73;    Kh. d. Weichteilgewebes bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-M75;    Schulterläsionen;11;20;17;17;10;12;17;6;6;76
ICD10-M76;    Enthesopathien d. unteren Extremität (ohne Fuß);-;-;1;3;2;2;1;2;1;2
ICD10-M77;    Sonstige Enthesopathien;1;-;-;-;1;1;-;2;-;-
ICD10-M79;    Sonstige Kh. des Weichteilgewebes, ao. n. klass.;75;61;73;58;79;82;78;69;80;82
ICD10-M80-M85;  Veränderungen der Knochendichte und -struktur;617;556;578;580;612;591;564;616;580;651
ICD10-M80;    Osteoporose mit pathologischer Fraktur;351;320;336;354;410;384;378;401;383;403
ICD10-M81;    Osteoporose ohne pathologische Fraktur;27;26;29;22;17;14;19;17;10;5
ICD10-M82;    Osteoporose bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-M83;    Osteomalazie im Erwachsenenalter;-;2;-;1;-;-;-;-;-;1
ICD10-M84;    Veränderungen der Knochenkontinuität;239;206;213;203;184;189;167;198;187;242
ICD10-M85;    Sonst. Veränderungen d. Knochendichte u. -struktur;-;2;-;-;1;4;-;-;-;-
ICD10-M86-M90;  Sonstige Osteopathien;305;291;272;259;328;325;382;337;339;314
ICD10-M86;    Osteomyelitis;199;201;174;168;216;239;272;261;245;225
ICD10-M87;    Knochennekrose;64;64;64;55;69;49;81;53;58;51
ICD10-M88;    Osteodystrophia deformans (Paget-Krankheit);2;1;-;-;-;1;-;-;-;-
ICD10-M89;    Sonstige Knochenkrankheiten;40;25;34;36;43;36;29;23;36;38
ICD10-M90;    Osteopathien bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-M91-M94;  Chondropathien;1;1;3;1;2;1;1;1;4;1
ICD10-M91;    Juvenile Osteochondrose der Hüfte und des Beckens;-;-;-;-;-;-;-;-;-;-
ICD10-M92;    Sonstige juvenile Osteochondrosen;-;-;1;-;-;-;-;-;-;-
ICD10-M93;    Sonstige Osteochondropathien;-;-;2;1;1;-;1;-;2;-
ICD10-M94;    Sonstige Knorpelkrankheiten;1;1;-;-;1;1;-;1;2;1
ICD10-M95-M99;  Sonst.Kh.d.Muskel-Skelett-Systems u.d.Bindegewebes;170;170;144;131;109;81;98;83;79;119
ICD10-M95;    Deformitäten d.Muskel-Skelett-Syst.u.d.Bindegeweb.;-;-;1;4;1;-;1;2;2;52
ICD10-M96;    Kh. d. Muskel-Skelett-Systems nach med. Maßnahmen;169;170;143;127;108;81;97;81;77;67
ICD10-M99;    Biomechanische Funktionsstörungen, ao.n.klass.;1;-;-;-;-;-;-;-;-;-
ICD10-N00-N99;Krankheiten des Urogenitalsystems;14628;14821;15062;15738;16548;16400;17795;17342;17116;18209
ICD10-N00-N08;  Glomeruläre Krankheiten;36;40;41;33;44;27;52;35;26;45
ICD10-N00;    Akutes nephritisches Syndrom;3;4;3;3;5;-;4;3;2;4
ICD10-N01;    Rapid-progressives nephritisches Syndrom;4;2;3;5;3;4;8;3;2;2
ICD10-N02;    Rezidivierende und persistierende Hämaturie;5;-;4;6;4;1;5;7;4;17
ICD10-N03;    Chronisches nephritisches Syndrom;-;1;3;2;1;-;1;-;1;2
ICD10-N04;    Nephrotisches Syndrom;22;29;26;17;28;19;28;21;16;20
ICD10-N05;    Nicht näher bezeichnetes nephritisches Syndrom;2;4;2;-;3;3;5;1;1;-
ICD10-N06;    Isolierte Proteinurie m. Angabe morpholog. Veränd.;-;-;-;-;-;-;-;-;-;-
ICD10-N07;    Hereditäre Nephropathie, ao. nicht klassifizert;-;-;-;-;-;-;1;-;-;-
ICD10-N08;    Glomeruläre Krankheiten bei ao. klass. Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-N10-N16;  Tubulointerstitielle Nierenkrankheiten;736;752;739;789;798;816;815;816;834;851
ICD10-N10;    Akute tubulointerstitielle Nephritis;152;135;122;137;165;141;118;116;149;148
ICD10-N11;    Chronische tubulointerstitielle Nephritis;7;5;8;9;2;11;2;5;7;6
ICD10-N12;    Tubulointerstitielle Nephritis, n.akut o.chronisch;33;26;23;20;18;14;17;23;22;27
ICD10-N13;    Obstruktive Uropathie und Refluxuropathie;507;538;548;561;563;593;635;626;614;618
ICD10-N14;    Tubulointerstitielle u.tubuläre Kh.,durch Arzneim.;1;6;-;1;1;-;2;-;1;-
ICD10-N15;    Sonstige tubulointerstitielle Nierenkrankheiten;36;42;38;61;49;57;41;46;41;52
ICD10-N16;    Tubulointerstitielle Nierenkh. bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-N17-N19;  Niereninsuffizienz;10470;10417;10425;10913;11352;11396;12163;11741;11241;11777
ICD10-N17;    Akutes Nierenversagen;7856;8215;8331;8941;9456;9629;10443;10136;9684;10122
ICD10-N18;    Chronische Niereninsuffizienz;2497;2046;1936;1794;1703;1603;1599;1526;1464;1571
ICD10-N19;    Nicht näher bezeichnete Niereninsuffizienz;117;156;158;178;193;164;121;79;93;84
ICD10-N20-N23;  Urolithiasis;57;66;65;76;81;84;71;56;80;93
ICD10-N20;    Nieren- und Ureterstein;41;42;50;54;64;63;59;41;61;72
ICD10-N21;    Stein in den unteren Harnwegen;13;20;13;14;13;17;5;13;15;17
ICD10-N22;    Harnstein bei ao. klassifizierten Krankheiten;-;-;-;-;-;-;-;-;-;-
ICD10-N23;    Nicht näher bezeichnete Nierenkolik;3;4;2;8;4;4;7;2;4;4
ICD10-N25-N29;  Sonstige Krankheiten der Niere und des Ureters;43;35;55;44;47;49;49;42;37;63
ICD10-N25;    Kh. infolge Schädigung d. tubulären Nierenfunktion;5;7;8;2;2;7;6;-;3;4
ICD10-N26;    Schrumpfniere, nicht näher bezeichnet;1;1;1;1;5;3;3;2;-;-
ICD10-N27;    Kleine Niere unbekannter Ursache;-;-;-;-;-;-;-;-;-;-
ICD10-N28;    Sonst. Kh. der Niere und des Ureters, ao.n.klass.;37;27;46;41;40;39;40;40;34;59
ICD10-N29;    Sonst. Kh. Der Niere und des Ureters b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-N30-N39;  Sonstige Krankheiten des Harnsystems;2695;2934;3149;3311;3676;3522;4103;4095;4384;4830
ICD10-N30;    Zystitis;575;538;661;627;654;639;690;675;757;728
ICD10-N31;    Neuromuskuläre Dysfunktion d.Harnblase,ao.n.klass.;16;16;11;17;11;13;9;10;12;11
ICD10-N32;    Sonstige Krankheiten der Harnblase;169;179;207;208;210;242;264;237;224;226
ICD10-N33;    Krankheiten der Harnblase bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-N34;    Urethritis und urethrales Syndrom;2;8;5;2;4;6;6;6;6;3
ICD10-N35;    Harnröhrenstriktur;20;18;12;7;9;14;16;12;11;12
ICD10-N36;    Sonstige Krankheiten der Harnröhre;18;11;11;11;14;12;17;10;12;13
ICD10-N37;    Krankheiten der Harnröhre bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-N39;    Sonstige Krankheiten des Harnsystems;1895;2164;2242;2439;2774;2596;3101;3145;3362;3837
ICD10-N40-N51;  Krankheiten der männlichen Genitalorgane;302;306;300;322;316;277;310;328;316;328
ICD10-N40;    Prostatahyperplasie;111;115;95;106;101;72;88;83;83;82
ICD10-N41;    Entzündliche Krankheiten der Prostata;10;12;5;7;11;15;13;11;8;11
ICD10-N42;    Sonstige Krankheiten der Prostata;15;15;14;24;14;14;17;24;17;17
ICD10-N43;    Hydrozele und Spermatozele;9;6;8;6;2;4;6;2;3;4
ICD10-N44;    Hodentorsion und Hydatidentorsion;1;-;1;-;1;-;-;-;1;-
ICD10-N45;    Orchitis und Epididymitis;31;32;34;37;38;33;40;48;34;40
ICD10-N46;    Sterilität beim Mann;-;-;-;-;-;-;-;-;-;-
ICD10-N47;    Vorhauthypertrophie, Phimose und Paraphimose;9;9;10;10;9;12;10;13;8;12
ICD10-N48;    Sonstige Krankheiten des Penis;11;7;12;10;11;17;16;11;15;11
ICD10-N49;    Entzündl. Kh. d. männl. Genitalorgane, ao.n.klass.;102;107;118;118;124;105;119;130;143;148
ICD10-N50;    Sonstige Krankheiten der männlichen Genitalorgane;3;3;3;4;5;5;1;6;4;3
ICD10-N51;    Kh. d. männl. Genitalorgane bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-N60-N64;  Krankheiten der Mamma (Brustdrüse);7;7;14;3;12;10;10;13;11;14
ICD10-N60;    Gutartige Mammadysplasie (Brustdrüsendysplasie);-;-;-;-;-;2;-;3;-;-
ICD10-N61;    Entzündliche Krankheiten der Mamma (Brustdrüse);6;4;12;2;9;6;7;4;6;10
ICD10-N62;    Hypertrophie der Mamma (Brustdrüse);-;1;-;-;-;1;2;3;3;4
ICD10-N63;    Nicht näher bez. Knoten in der Mamma (Brustdrüse);-;-;-;-;-;-;-;1;-;-
ICD10-N64;    Sonstige Krankheiten der Mamma (Brustdrüse);1;2;2;1;3;1;1;2;2;-
ICD10-N70-N77;  Entzündliche Krankh. der weiblichen Beckenorgane;56;60;62;53;66;74;65;70;66;66
ICD10-N70;    Salpingitis und Oophoritis;11;10;10;11;9;7;9;11;8;10
ICD10-N71;    Entzündliche Kh. des Uterus,ausgenommen der Zervix;11;5;7;8;5;11;10;4;6;6
ICD10-N72;    Entzündliche Krankheit der Cervix uteri;1;-;-;-;-;-;-;1;-;-
ICD10-N73;    Sonstige entzündliche Kh. im weiblichen Becken;6;6;5;5;6;5;7;4;3;2
ICD10-N74;    Entzündung im weiblichen Becken bei ao. klass. Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-N75;    Krankheiten der Bartholin-Drüsen;-;-;1;1;-;-;-;-;1;-
ICD10-N76;    Sonst. entzündliche Krankheit der Vagina und Vulva;27;39;39;28;46;51;39;50;48;48
ICD10-N77;    Vulvovaginale Ulzeration u. Entzündung b.ao.kl.Kh.;-;-;-;-;-;-;-;-;-;-
ICD10-N80-N98;  Nichtentzündl. Kh. des weiblichen Genitaltraktes;146;130;137;129;114;104;123;111;90;114
ICD10-N80;    Endometriose;2;1;1;-;2;2;-;1;-;-
ICD10-N81;    Genitalprolaps bei der Frau;27;21;26;30;26;19;28;30;18;15
ICD10-N82;    Fisteln mit Beteiligung des weibl. Genitaltraktes;65;64;60;60;51;45;49;40;39;48
ICD10-N83;    Nichtentzündl. Kh. d. Ovars,Tuba,Lig. latum uteri;6;12;6;4;5;6;14;6;11;7
ICD10-N84;    Polyp des weiblichen Genitaltraktes;5;-;2;4;4;5;1;2;2;2
ICD10-N85;    Sonst.nichtentzündl. Kh.d.Uterus,ausgenom.d.Zervix;4;3;2;8;3;2;4;4;4;4
ICD10-N86;    Erosion und Ektropium der Cervix uteri;-;-;-;-;1;-;-;-;-;-
ICD10-N87;    Dysplasie der Cervix uteri;1;1;-;-;-;-;-;1;-;1
ICD10-N88;    Sonstige nichtentzündliche Kh. der Cervix uteri;1;-;-;1;-;-;-;1;-;1
ICD10-N89;    Sonstige nichtentzündliche Krankheiten der Vagina;2;-;3;-;2;1;1;2;-;-
ICD10-N90;    Sonst. nichtentzündliche Kh. d.Vulva u.d.Perineums;-;-;1;-;1;1;1;-;-;4
ICD10-N91;    Ausgeblieb.,zu schwache o. zu seltene Menstruation;-;-;-;-;-;-;-;-;-;-
ICD10-N92;    Zu starke,zu häufige o. unregelmäßige Menstruation;1;-;1;2;1;2;1;2;2;2
ICD10-N93;    Sonstige abnorme Uterus- oder Vaginalblutung;13;13;8;9;12;13;14;16;8;15
ICD10-N94;    Schmerz/Zustände i.Zh.m.weibl.Genitalorg./Menstr.;1;1;1;-;-;-;-;-;-;-
ICD10-N95;    Klimakterische Störungen;17;14;26;11;6;8;9;6;6;15
ICD10-N96;    Neigung zu habituellem Abort;-;-;-;-;-;-;-;-;-;-
ICD10-N97;    Sterilität der Frau;1;-;-;-;-;-;-;-;-;-
ICD10-N98;    Komplikationen i.Zusammenh. m. künstl. Befruchtung;-;-;-;-;-;-;1;-;-;-
ICD10-N99-N99;  Sonstige Krankheiten des Urogenitalsystems;80;74;75;65;42;41;34;35;31;28
ICD10-N99;    Kh.d.Urogenitalsystems n.med.Maßnahmen,ao.n.klass.;80;74;75;65;42;41;34;35;31;28
ICD10-O00-O99;Schwangerschaft, Geburt und Wochenbett;32;29;36;20;29;31;23;23;33;34
ICD10-O00-O08;  Schwangerschaft mit abortivem Ausgang;1;1;-;1;-;2;2;1;2;1
ICD10-O00;    Extrauteringravidität;-;-;-;-;-;-;1;1;-;1
ICD10-O01;    Blasenmole;-;-;-;-;-;-;-;-;-;-
ICD10-O02;    Sonstige abnorme Konzeptionsprodukte;-;1;-;-;-;-;-;-;-;-
ICD10-O03;    Spontanabort;1;-;-;1;-;-;-;-;1;-
ICD10-O04;    Ärztlich eingeleiteter Abort;-;-;-;-;-;-;-;-;1;-
ICD10-O05;    Sonstiger Abort;-;-;-;-;-;-;1;-;-;-
ICD10-O06;    Nicht näher bezeichneter Abort;-;-;-;-;-;-;-;-;-;-
ICD10-O07;    Misslungene Aborteinleitung;-;-;-;-;-;-;-;-;-;-
ICD10-O08;    Komplik.n.Abort,Extrauteringrav.u.Molenschwanger.;-;-;-;-;-;2;-;-;-;-
ICD10-O09-O09;  Schwangerschaftsdauer;-;-;-;-;-;-;-;-;-;-
ICD10-O09;    Schwangerschaftsdauer;-;-;-;-;-;-;-;-;-;-
ICD10-O10-O16;  Ödeme/Proteinurie/Hypert.(Schwangerschaft/Geburt);4;7;-;3;2;4;3;2;5;2
ICD10-O10;    Schwangerschaftskompl.durch vorher best.Hypertonie;-;-;-;-;-;-;-;-;-;-
ICD10-O11;    Chronische Hypertonie mit aufgepr. Praeklampsie;-;-;-;-;-;-;-;-;-;-
ICD10-O12;    Gestationsödeme/Gestationsproteinurie o.Hypertonie;-;-;-;-;-;-;-;-;-;-
ICD10-O13;    Gestationshypertonie;-;2;-;-;-;1;-;-;-;-
ICD10-O14;    Präeklampsie;2;4;-;3;1;3;2;2;5;1
ICD10-O15;    Eklampsie;2;1;-;-;-;-;1;-;-;1
ICD10-O16;    Nicht näher bezeichnete Hypertonie der Mutter;-;-;-;-;1;-;-;-;-;-
ICD10-O20-O29;  Sonstige Schwangerschaftsbedingte Kh. der Mutter;1;1;-;-;-;-;1;2;3;3
ICD10-O20;    Blutung in der Frühschwangerschaft;-;-;-;-;-;-;-;-;1;-
ICD10-O21;    Übermäßiges Erbrechen während der Schwangerschaft;1;-;-;-;-;-;-;1;1;-
ICD10-O22;    Venenkh. u. Hämorrhoiden als Schwangersch.-Kompl.;-;1;-;-;-;-;-;-;-;-
ICD10-O23;    Infektionen d.Urogenitaltraktes i.d. Schwangersch.;-;-;-;-;-;-;-;-;-;1
ICD10-O24;    Diabetes mellitus in der Schwangerschaft;-;-;-;-;-;-;1;-;1;-
ICD10-O25;    Fehl- und Mangelernährung in der Schwangerschaft;-;-;-;-;-;-;-;-;-;-
ICD10-O26;    Betreu.d.Mutter b.sonst.Zuständen i.Veb.m.Schwang.;-;-;-;-;-;-;-;1;-;1
ICD10-O28;    Abnorme Befunde b.d.Screeninguntersuchung d.Mutter;-;-;-;-;-;-;-;-;-;1
ICD10-O29;    Komplikationen b. Anästhesie i.d. Schwangerschaft;-;-;-;-;-;-;-;-;-;-
ICD10-O30-O48;  Betreuung d. Mutter bei Entbindungskomplikationen;8;5;7;4;8;4;3;3;5;5
ICD10-O30;    Mehrlingsschwangerschaft;-;-;-;-;-;-;-;-;-;-
ICD10-O31;    Komplikationen bei Mehrlingsschwangerschaft;-;-;-;-;-;-;-;-;-;-
ICD10-O32;    Betreu.d. Mutter b.Lage-/Einstellungsanom. d.Fetus;-;-;1;-;-;-;-;-;-;-
ICD10-O33;    Betreu.d. Mutter b. Missverhältnis Fetus u.Becken;-;-;-;-;-;-;-;-;-;-
ICD10-O34;    Betreu.d. Mutter bei Anomalie der Beckenorgane;1;1;-;1;-;1;-;-;-;3
ICD10-O35;    Betreu.d. Mutter bei Anomalie/Schädigung d.Fetus;-;-;-;-;-;-;-;-;-;1
ICD10-O36;    Betreu.d. Mutter wegen Komplikationen beim Fetus;1;-;1;1;2;-;1;1;-;-
ICD10-O40;    Polyhydramnion;-;-;-;-;-;-;-;-;-;-
ICD10-O41;    Sonst. Veränderungen d. Fruchtwassers u.d. Eihäute;-;1;-;-;1;-;-;-;1;-
ICD10-O42;    Vorzeitiger Blasensprung;3;-;2;-;1;2;-;-;2;-
ICD10-O43;    Pathologische Zustände der Plazenta;-;-;-;-;1;1;-;-;-;1
ICD10-O44;    Placenta praevia;2;2;2;1;1;-;-;1;-;-
ICD10-O45;    Vorzeitige Plazentalösung (Abruptio placentae);1;-;-;-;1;-;-;-;-;-
ICD10-O46;    Präpartale Blutung,anderenorts nicht klassifiziert;-;-;-;-;-;-;-;-;1;-
ICD10-O47;    Frustrane Kontraktionen (Unnütze Wehen);-;-;-;-;-;-;-;-;1;-
ICD10-O48;    Übertragene Schwangerschaft;-;1;1;1;1;-;2;1;-;-
ICD10-O60-O75;  Komplikationen bei Wehentätigkeit und Entbindung;10;6;8;5;4;10;4;6;3;5
ICD10-O60;    Vorzeitige Wehen;-;1;-;-;1;1;-;-;-;-
ICD10-O61;    Misslungene Geburtseinleitung;-;-;-;-;-;-;-;-;-;-
ICD10-O62;    Abnorme Wehentätigkeit;-;-;-;-;-;1;-;-;-;2
ICD10-O63;    Protrahierte Geburt;-;1;1;1;-;2;-;-;-;-
ICD10-O64;    Geburtshind. d. Lage-/Haltungs-/Einstellungsanom.;1;-;-;-;-;-;-;-;-;-
ICD10-O65;    Geburtshindernis d. Anomalie d. mütterl. Beckens;1;-;-;-;-;-;-;-;-;-
ICD10-O66;    Sonstiges Geburtshindernis;-;-;-;-;-;-;-;-;-;1
ICD10-O67;    Komplikat.b.Wehen/Entbindung d.Blutung,ao.n.klass.;-;-;-;-;-;-;-;1;-;1
ICD10-O68;    Komplikat.b. Wehen/Entbindung d. fetalen Distress;3;1;2;2;2;1;2;1;2;-
ICD10-O69;    Komplikat.b. Wehen/Entbindung d. Nabelschnurkompl.;-;-;-;-;-;-;1;-;-;-
ICD10-O70;    Dammriss unter der Geburt;-;-;1;-;-;-;-;1;-;1
ICD10-O71;    Sonstige Verletzungen unter der Geburt;-;-;1;-;-;1;-;1;-;-
ICD10-O72;    Postpartale Blutung;3;3;1;-;-;3;1;2;1;-
ICD10-O73;    Retention d. Plazenta u.d. Eihäute ohne Blutung;-;-;-;-;-;1;-;-;-;-
ICD10-O74;    Komplikat.b.Anästhesie bei Wehentätigk./Entbindung;1;-;-;-;-;-;-;-;-;-
ICD10-O75;    Sonst.Komplikationen bei Wehentätigkeit/Entbindung;1;-;2;2;1;-;-;-;-;-
ICD10-O80-O84;  Entbindung;1;2;1;-;2;-;2;-;2;1
ICD10-O80;    Spontangeburt eines Einlings;-;-;-;-;-;-;-;-;2;-
ICD10-O81;    Geburt eines Einlings d. Zangen-/Vakuumextraktion;-;-;-;-;1;-;-;-;-;-
ICD10-O82;    Geburt eines Einlings durch Schnittentbindung;1;2;1;-;1;-;2;-;-;1
ICD10-O83;    Geburt eines Einlings, sonstige Maßnahmen;-;-;-;-;-;-;-;-;-;-
ICD10-O84;    Mehrlingsgeburt;-;-;-;-;-;-;-;-;-;-
ICD10-O85-O92;  Komplikationen, die vorw. im Wochenbett auftreten;4;5;8;5;6;3;4;4;8;9
ICD10-O85;    Puerperalfieber;-;-;1;-;1;-;-;-;-;-
ICD10-O86;    Sonstige Wochenbettinfektionen;-;-;-;-;-;1;-;-;-;-
ICD10-O87;    Venenkh. u. Hämorrhoiden als Komplik. i.Wochenbett;-;-;-;-;1;-;-;-;-;-
ICD10-O88;    Embolie während der Gestationsperiode;4;4;7;5;4;2;4;4;7;9
ICD10-O89;    Komplikationen bei Anästhesie im Wochenbett;-;-;-;-;-;-;-;-;-;-
ICD10-O90;    Wochenbettkomplikationen, andernorts nicht klass.;-;1;-;-;-;-;-;-;1;-
ICD10-O91;    Infektion d. Mamma im Zusammenhang m.d. Gestation;-;-;-;-;-;-;-;-;-;-
ICD10-O92;    Sonst. Kh. d. Mamma i. Zusammenh. m. d. Gestation;-;-;-;-;-;-;-;-;-;-
ICD10-O94-O99;  Sonst.Kh.-zustände d.Gestationsperiode,ao.n.klass.;3;2;12;2;7;8;4;5;5;8
ICD10-O94;    Folgen v. Komplikat. während Schwangersch./Geburt;-;-;-;-;-;-;-;-;-;-
ICD10-O95;    Sterbefall währ. d. Gestationsperiode n.n.bez.Urs.;-;-;-;-;-;-;-;-;-;-
ICD10-O96;    Tod,gestationsbed.Urs.,>42Tage-<1Jahr n.Entbindung;-;-;-;-;-;-;-;-;-;-
ICD10-O97;    Tod an den Folgen direkt gestationsbed. Ursachen;-;-;-;-;-;-;-;-;-;-
ICD10-O98;    Infekt. u. parasitäre Kh. d. Mutter, ao.klass.;-;-;1;-;1;2;-;2;-;1
ICD10-O99;    Sonst. Kh. d. Mutter, andernorts klassifiziert;3;2;11;2;6;6;4;3;5;7
ICD10-P00-P96;Best. Zustände mit Ursprung i.d Perinatalperiode;1300;1452;1423;1378;1366;1523;1556;1581;1582;1623
ICD10-P00-P04;  Schädigung d.Fetus/Neugeb.d.mütterl.Faktoren u.Ä.;56;56;60;66;45;58;47;42;43;64
ICD10-P00;    Schädigung d.Fetus/Neugeb.d. Zustände der Mutter;7;19;21;7;2;2;2;-;2;1
ICD10-P01;    Schädigung d.Fetus/Neugeb.d. Schwangersch.-Kompl.;16;18;16;29;23;35;16;17;14;14
ICD10-P02;    Schäd.d.Fetus/Neugeb.durch Kompl.v.Placenta u.Ä.;32;19;23;28;19;19;28;25;25;45
ICD10-P03;    Schäd.d.Fetus/Neugeb.durch sonst. Komplikationen;1;-;-;2;1;2;1;-;2;4
ICD10-P04;    Schädigung des Fetus und Neugeborenen durch Noxen;-;-;-;-;-;-;-;-;-;-
ICD10-P05-P08;  Störungen i.Zusammenhang m.d.Schwangerschaftsdauer;880;1008;978;943;956;1038;1051;1112;1073;1064
ICD10-P05;    Intrauterine Mangelentwicklung/fetale Mangelernäh.;10;3;7;4;6;13;10;13;14;8
ICD10-P07;    Störungen im Zusammenhang m.kurzer Schwangerschaft;870;1004;971;939;950;1023;1040;1095;1059;1056
ICD10-P08;    Störungen im Zusammenhang m.langer Schwangerschaft;-;1;-;-;-;2;1;4;-;-
ICD10-P10-P15;  Geburtstrauma;1;-;-;1;-;-;-;-;-;1
ICD10-P10;    Intrakran.Verletzung u.Blutung d.Geburtsverletzung;1;-;-;1;-;-;-;-;-;1
ICD10-P11;    Sonst. Geburtsverletzungen d. Zentralnervensystems;-;-;-;-;-;-;-;-;-;-
ICD10-P12;    Geburtsverletzung der behaarten Kopfhaut;-;-;-;-;-;-;-;-;-;-
ICD10-P13;    Geburtsverletzung des Skeletts;-;-;-;-;-;-;-;-;-;-
ICD10-P14;    Geburtsverletzung des peripheren Nervensystems;-;-;-;-;-;-;-;-;-;-
ICD10-P15;    Sonstige Geburtsverletzungen;-;-;-;-;-;-;-;-;-;-
ICD10-P20-P29;  Perinatale Kh.d. Atmungs- u. Herz-Kreislaufsystems;154;144;170;162;163;172;201;182;188;188
ICD10-P20;    Intrauterine Hypoxie;18;12;21;15;13;14;21;22;22;23
ICD10-P21;    Asphyxie unter der Geburt;63;73;81;80;78;82;101;88;78;85
ICD10-P22;    Atemnot (Respiratory distress) beim Neugeborenen;15;13;13;21;22;12;14;9;22;21
ICD10-P23;    Angeborene Pneumonie;-;1;3;1;-;2;2;1;-;2
ICD10-P24;    Aspirationssyndrome beim Neugeborenen;2;4;4;2;4;4;3;3;10;5
ICD10-P25;    Interstitiell.Emphysem u.Ä.,Ursp.i.d.Perinatalper.;2;4;-;-;1;-;2;-;-;-
ICD10-P26;    Lungenblutung mit Ursprung in der Perinatalperiode;-;3;3;1;2;-;2;-;3;1
ICD10-P27;    Chronische Atemwegskh.m.Urspr.i.d.Perinatalperiode;4;4;4;7;4;8;8;1;5;2
ICD10-P28;    Sonst.Störung d.Atmung m.Urspr.i.d.Perinatalper.;35;18;28;21;32;34;32;44;31;37
ICD10-P29;    Kardiovaskulare Kh. m. Ursprung i.d. Perinatalper.;15;12;13;14;7;16;16;14;17;12
ICD10-P35-P39;  Perinatale Infektionskrankheiten;12;23;10;9;13;19;17;13;10;11
ICD10-P35;    Angeborene Viruskrankheiten;1;1;1;1;-;1;-;-;1;-
ICD10-P36;    Bakterielle Sepsis beim Neugeborenen;11;20;8;8;12;15;16;11;9;10
ICD10-P37;    Sonstige angeborene infektiöse und parasitäre Kh.;-;2;1;-;-;2;1;-;-;1
ICD10-P38;    Omphalitis b. Neugeb. mit/ohne leichte Blutung;-;-;-;-;-;-;-;-;-;-
ICD10-P39;    Sonst. Infektionen, typisch für Perinatalperiode;-;-;-;-;1;1;-;2;-;-
ICD10-P50-P61;  Hämorrhag. u. hämatolog. Kh. beim Fetus u. Neugeb.;8;12;6;8;2;7;8;7;6;6
ICD10-P50;    Fetaler Blutverlust;1;2;3;2;-;3;-;-;2;1
